condition,face_path,isi_dur,face_valence,face_emotion,word,word_valence,correct_response
正脸负词,Session_01\Emotional_faces\woman_sub46\happiness.jpg,2.2,positive,happiness,仇恨,negative,positive
正性一致,Session_01\Emotional_faces\woman_sub4\happiness.jpg,1.0,positive,happiness,称赞,positive,positive
正脸负词,Session_01\Emotional_faces\woman_sub44\happiness.jpg,2.5,positive,happiness,焦急,negative,positive
负性一致,Session_01\Emotional_faces\woman_sub30\anger.jpg,2.5,negative,anger,绝望,negative,negative
负脸正词,Session_01\Emotional_faces\woman_sub38\disgust.jpg,1.6,negative,disgust,刻苦,positive,negative
负性一致,Session_01\Emotional_faces\woman_sub23\anger.jpg,1.6,negative,anger,慌张,negative,negative
正性一致,Session_01\Emotional_faces\woman_sub29\happiness.jpg,1.0,positive,happiness,勤劳,positive,positive
负脸正词,Session_01\Emotional_faces\woman_sub35\disgust.jpg,2.2,negative,disgust,出色,positive,negative
负性一致,Session_01\Emotional_faces\man_sub23\fear.jpg,2.2,negative,fear,狠心,negative,negative
正性一致,Session_01\Emotional_faces\man_sub38\happiness.jpg,2.5,positive,happiness,赞美,positive,positive
负脸正词,Session_01\Emotional_faces\man_sub37\fear.jpg,2.2,negative,fear,礼貌,positive,negative
负脸正词,Session_01\Emotional_faces\man_sub56\sadness.jpg,2.2,negative,sadness,满意,positive,negative
正性一致,Session_01\Emotional_faces\man_sub41\happiness.jpg,1.6,positive,happiness,欢笑,positive,positive
正性一致,Session_01\Emotional_faces\man_sub26\happiness.jpg,1.9,positive,happiness,刻苦,positive,positive
正性一致,Session_01\Emotional_faces\man_sub12\happiness.jpg,1.3,positive,happiness,诚实,positive,positive
正脸负词,Session_01\Emotional_faces\man_sub51\happiness.jpg,1.0,positive,happiness,崩溃,negative,positive
负性一致,Session_01\Emotional_faces\man_sub20\fear.jpg,1.3,negative,fear,崩溃,negative,negative
正脸负词,Session_01\Emotional_faces\woman_sub40\happiness.jpg,2.2,positive,happiness,糟糕,negative,positive
负性一致,Session_01\Emotional_faces\man_sub54\sadness.jpg,2.5,negative,sadness,怒火,negative,negative
正脸负词,Session_01\Emotional_faces\woman_sub17\happiness.jpg,1.0,positive,happiness,急躁,negative,positive
负性一致,Session_01\Emotional_faces\woman_sub51\sadness.jpg,1.6,negative,sadness,悲观,negative,negative
正脸负词,Session_01\Emotional_faces\woman_sub28\happiness.jpg,1.9,positive,happiness,悲观,negative,positive
正性一致,Session_01\Emotional_faces\woman_sub7\happiness.jpg,2.5,positive,happiness,纯洁,positive,positive
负脸正词,Session_01\Emotional_faces\woman_sub41\sadness.jpg,1.3,negative,sadness,可靠,positive,negative
正性一致,Session_01\Emotional_faces\woman_sub45\happiness.jpg,2.5,positive,happiness,可靠,positive,positive
负脸正词,Session_01\Emotional_faces\woman_sub31\anger.jpg,1.3,negative,anger,美德,positive,negative
正脸负词,Session_01\Emotional_faces\woman_sub43\happiness.jpg,1.3,positive,happiness,狡猾,negative,positive
负性一致,Session_01\Emotional_faces\man_sub34\anger.jpg,1.9,negative,anger,可怕,negative,negative
负性一致,Session_01\Emotional_faces\man_sub25\fear.jpg,1.0,negative,fear,卑鄙,negative,negative
正性一致,Session_01\Emotional_faces\man_sub15\happiness.jpg,1.9,positive,happiness,荣誉,positive,positive
负脸正词,Session_01\Emotional_faces\man_sub55\disgust.jpg,2.5,negative,disgust,勤劳,positive,negative
负性一致,Session_01\Emotional_faces\woman_sub11\fear.jpg,1.6,negative,fear,讽刺,negative,negative
负性一致,Session_01\Emotional_faces\woman_sub15\anger.jpg,1.3,negative,anger,糟糕,negative,negative
负性一致,Session_01\Emotional_faces\woman_sub32\sadness.jpg,1.0,negative,sadness,急躁,negative,negative
负性一致,Session_01\Emotional_faces\man_sub4\anger.jpg,1.3,negative,anger,悲哀,negative,negative
负性一致,Session_01\Emotional_faces\woman_sub49\anger.jpg,1.9,negative,anger,狡猾,negative,negative
正性一致,Session_01\Emotional_faces\woman_sub34\happiness.jpg,1.0,positive,happiness,杰出,positive,positive
正脸负词,Session_01\Emotional_faces\woman_sub33\happiness.jpg,1.6,positive,happiness,凶狠,negative,positive
负性一致,Session_01\Emotional_faces\woman_sub59\disgust.jpg,2.5,negative,disgust,恐惧,negative,negative
负脸正词,Session_01\Emotional_faces\woman_sub21\anger.jpg,2.2,negative,anger,热情,positive,negative
正性一致,Session_01\Emotional_faces\woman_sub55\happiness.jpg,2.2,positive,happiness,活泼,positive,positive
正性一致,Session_01\Emotional_faces\man_sub19\happiness.jpg,1.6,positive,happiness,满意,positive,positive
正性一致,Session_01\Emotional_faces\woman_sub14\happiness.jpg,2.2,positive,happiness,坚定,positive,positive
正性一致,Session_01\Emotional_faces\man_sub1\happiness.jpg,2.2,positive,happiness,幸福,positive,positive
负脸正词,Session_01\Emotional_faces\woman_sub10\disgust.jpg,1.6,negative,disgust,进步,positive,negative
负脸正词,Session_01\Emotional_faces\woman_sub1\fear.jpg,1.3,negative,fear,活泼,positive,negative
正性一致,Session_01\Emotional_faces\woman_sub47\happiness.jpg,1.9,positive,happiness,出色,positive,positive
负脸正词,Session_01\Emotional_faces\woman_sub2\disgust.jpg,1.6,negative,disgust,赞美,positive,negative
负脸正词,Session_01\Emotional_faces\woman_sub48\anger.jpg,1.0,negative,anger,踏实,positive,negative
负脸正词,Session_01\Emotional_faces\man_sub47\anger.jpg,1.6,negative,anger,荣誉,positive,negative
正性一致,Session_01\Emotional_faces\man_sub2\happiness.jpg,1.3,positive,happiness,鼓励,positive,positive
正脸负词,Session_01\Emotional_faces\man_sub32\happiness.jpg,2.5,positive,happiness,卑鄙,negative,positive
正脸负词,Session_01\Emotional_faces\man_sub50\happiness.jpg,1.6,positive,happiness,绝望,negative,positive
正脸负词,Session_01\Emotional_faces\man_sub24\happiness.jpg,1.0,positive,happiness,怒火,negative,positive
负性一致,Session_01\Emotional_faces\man_sub14\disgust.jpg,1.9,negative,disgust,说谎,negative,negative
正性一致,Session_01\Emotional_faces\man_sub8\happiness.jpg,1.3,positive,happiness,热情,positive,positive
正脸负词,Session_01\Emotional_faces\man_sub42\happiness.jpg,1.3,positive,happiness,狂妄,negative,positive
负脸正词,Session_01\Emotional_faces\woman_sub39\fear.jpg,2.5,negative,fear,杰出,positive,negative
负脸正词,Session_01\Emotional_faces\woman_sub58\fear.jpg,2.2,negative,fear,幸福,positive,negative
负性一致,Session_01\Emotional_faces\woman_sub19\disgust.jpg,2.5,negative,disgust,失败,negative,negative
正性一致,Session_01\Emotional_faces\woman_sub52\happiness.jpg,1.0,positive,happiness,进步,positive,positive
负性一致,Session_01\Emotional_faces\man_sub39\fear.jpg,1.3,negative,fear,可恶,negative,negative
负脸正词,Session_01\Emotional_faces\man_sub21\sadness.jpg,1.9,negative,sadness,诚实,positive,negative
负性一致,Session_01\Emotional_faces\man_sub30\sadness.jpg,1.6,negative,sadness,欺骗,negative,negative
